TITLE     = ""
VARIABLES = "cycle"
"plunge [mm]"
"pitch [deg]"
"lift [N]"
ZONE T="Run 0881"
 STRANDID=0, SOLUTIONTIME=0
 I=6144, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -8.898999691E-001 3.697610092E+001 1.893770027E+001 9.468749911E-002
 -8.894000053E-001 3.689110184E+001 1.900379944E+001 9.447916597E-002
 -8.888999820E-001 3.680149841E+001 1.907500076E+001 9.427083284E-002
 -8.884000182E-001 3.670989990E+001 1.914979935E+001 9.416666627E-002
 -8.878999949E-001 3.661759949E+001 1.923170090E+001 9.416666627E-002
 -8.873999715E-001 3.652439880E+001 1.930489922E+001 9.416666627E-002
 -8.869000077E-001 3.643190002E+001 1.937109947E+001 9.416666627E-002
 -8.863999844E-001 3.633670044E+001 1.943569946E+001 9.427083284E-002
 -8.859000206E-001 3.624300003E+001 1.949860001E+001 9.437499940E-002
 -8.855000138E-001 3.614590073E+001 1.956679916E+001 9.458333254E-002
 -8.849999905E-001 3.604410172E+001 1.964019966E+001 9.479166567E-002
 -8.844999671E-001 3.594150162E+001 1.971730042E+001 9.499999881E-002
 -8.840000033E-001 3.584700012E+001 1.977510071E+001 9.520833194E-002
 -8.834999800E-001 3.574909973E+001 1.983830070E+001 9.552083910E-002
 -8.830000162E-001 3.564870071E+001 1.990670013E+001 9.583333135E-002
 -8.824999928E-001 3.554740143E+001 1.997870064E+001 9.614583105E-002
 -8.819999695E-001 3.544300079E+001 2.005430031E+001 9.656249732E-002
 -8.816000223E-001 3.534659958E+001 2.011590004E+001 9.697916359E-002
 -8.810999990E-001 3.524850082E+001 2.017580032E+001 9.749999642E-002
 -8.805999756E-001 3.515000153E+001 2.024099922E+001 9.802082926E-002
 -8.801000118E-001 3.505049896E+001 2.030629921E+001 9.854166955E-002
 -8.795999885E-001 3.495100021E+001 2.037159920E+001 9.906250238E-002
 -8.791000247E-001 3.485279846E+001 2.043169975E+001 9.968750179E-002
 -8.786000013E-001 3.475379944E+001 2.049530029E+001 1.004166678E-001
 -8.780999780E-001 3.465729904E+001 2.055730057E+001 1.011458337E-001
 -8.776000142E-001 3.455730057E+001 2.062450027E+001 1.018749997E-001
 -8.772000074E-001 3.445920181E+001 2.068829918E+001 1.026041657E-001
 -8.766999841E-001 3.435910034E+001 2.075219917E+001 1.034374982E-001
 -8.762000203E-001 3.425949860E+001 2.081789970E+001 1.042708382E-001
 -8.756999969E-001 3.416249847E+001 2.088190079E+001 1.052083373E-001
 -8.751999736E-001 3.406309891E+001 2.095120049E+001 1.061458290E-001
 -8.747000098E-001 3.396500015E+001 2.101530075E+001 1.069791690E-001
 -8.741999865E-001 3.386479950E+001 2.107939911E+001 1.079166681E-001
 -8.737000227E-001 3.376330185E+001 2.115250015E+001 1.089583337E-001
 -8.731999993E-001 3.366339874E+001 2.122389984E+001 1.098958328E-001
 -8.727999926E-001 3.356169891E+001 2.129000092E+001 1.108333319E-001
 -8.722999692E-001 3.345830154E+001 2.135440063E+001 1.117708310E-001
 -8.718000054E-001 3.335990143E+001 2.141169930E+001 1.127083302E-001
 -8.712999821E-001 3.325009918E+001 2.148870087E+001 1.135416627E-001
 -8.708000183E-001 3.314759827E+001 2.154960060E+001 1.144791618E-001
 -8.702999949E-001 3.303889847E+001 2.161420059E+001 1.153124943E-001
 -8.697999716E-001 3.293109894E+001 2.167530060E+001 1.160416678E-001
 -8.693000078E-001 3.282780075E+001 2.173100090E+001 1.168750003E-001
 -8.689000010E-001 3.271390152E+001 2.179940033E+001 1.174999997E-001
 -8.683999777E-001 3.260490036E+001 2.185700035E+001 1.181249991E-001
 -8.679000139E-001 3.249399948E+001 2.192189980E+001 1.187499985E-001
 -8.673999906E-001 3.238259888E+001 2.198500061E+001 1.192708313E-001
 -8.668999672E-001 3.227470016E+001 2.204640007E+001 1.197916716E-001
 -8.664000034E-001 3.216320038E+001 2.210969925E+001 1.202083379E-001
 -8.658999801E-001 3.205319977E+001 2.217119980E+001 1.206250042E-001
 -8.654000163E-001 3.194269943E+001 2.223089981E+001 1.209374964E-001
 -8.648999929E-001 3.183419991E+001 2.229070091E+001 1.212500036E-001
 -8.644999862E-001 3.172710037E+001 2.234510040E+001 1.215625033E-001
 -8.640000224E-001 3.161409950E+001 2.241040039E+001 1.217708290E-001
 -8.634999990E-001 3.150950050E+001 2.245949936E+001 1.219791695E-001
 -8.629999757E-001 3.139789963E+001 2.252309990E+001 1.220833361E-001
 -8.625000119E-001 3.128730011E+001 2.258320045E+001 1.222916618E-001
 -8.619999886E-001 3.118320084E+001 2.263419914E+001 1.223958358E-001
 -8.615000248E-001 3.107309914E+001 2.269249916E+001 1.225000024E-001
 -8.610000014E-001 3.095999908E+001 2.275819969E+001 1.226041690E-001
 -8.605999947E-001 3.085540009E+001 2.281119919E+001 1.228125021E-001
 -8.600999713E-001 3.074340057E+001 2.287700081E+001 1.229166687E-001
 -8.596000075E-001 3.063319969E+001 2.293549919E+001 1.231249943E-001
 -8.590999842E-001 3.052519989E+001 2.299780083E+001 1.232291684E-001
 -8.586000204E-001 3.041460037E+001 2.305830002E+001 1.234375015E-001
 -8.580999970E-001 3.030290031E+001 2.312249947E+001 1.237500012E-001
 -8.575999737E-001 3.019190025E+001 2.318860054E+001 1.240624934E-001
 -8.571000099E-001 3.008060074E+001 2.324740028E+001 1.243750006E-001
 -8.565999866E-001 2.997030067E+001 2.330260086E+001 1.246875003E-001
 -8.561999798E-001 2.985700035E+001 2.336520004E+001 1.251041591E-001
 -8.557000160E-001 2.974150085E+001 2.342790031E+001 1.256249994E-001
 -8.551999927E-001 2.963089943E+001 2.347590065E+001 1.261458397E-001
 -8.546999693E-001 2.951320076E+001 2.353499985E+001 1.267708242E-001
 -8.542000055E-001 2.939550018E+001 2.359420013E+001 1.273958385E-001
 -8.536999822E-001 2.927470016E+001 2.365340042E+001 1.281249970E-001
 -8.532000184E-001 2.915730095E+001 2.370709991E+001 1.288541704E-001
 -8.526999950E-001 2.903739929E+001 2.376269913E+001 1.296875030E-001
 -8.522999883E-001 2.891749954E+001 2.381839943E+001 1.306250095E-001
 -8.518000245E-001 2.879899979E+001 2.387220001E+001 1.316666603E-001
 -8.513000011E-001 2.868169975E+001 2.392609978E+001 1.328125000E-001
 -8.507999778E-001 2.856380081E+001 2.398200035E+001 1.339583397E-001
 -8.503000140E-001 2.843869972E+001 2.404159927E+001 1.352083385E-001
 -8.497999907E-001 2.832069969E+001 2.409379959E+001 1.365624964E-001
 -8.492999673E-001 2.820820045E+001 2.413669968E+001 1.380208284E-001
 -8.488000035E-001 2.808869934E+001 2.419079971E+001 1.394791752E-001
 -8.482999802E-001 2.796509933E+001 2.424880028E+001 1.411458254E-001
 -8.478999734E-001 2.785359955E+001 2.429179955E+001 1.428124905E-001
 -8.474000096E-001 2.773460007E+001 2.434420013E+001 1.445833296E-001
 -8.468999863E-001 2.761400032E+001 2.439850044E+001 1.464583278E-001
 -8.464000225E-001 2.749580002E+001 2.444729996E+001 1.484375000E-001
 -8.458999991E-001 2.737989998E+001 2.449990082E+001 1.505208313E-001
 -8.453999758E-001 2.725989914E+001 2.455620003E+001 1.526041776E-001
 -8.449000120E-001 2.714080048E+001 2.460890007E+001 1.547916681E-001
 -8.443999887E-001 2.702210045E+001 2.465970039E+001 1.570833325E-001
 -8.439999819E-001 2.690360069E+001 2.471439934E+001 1.594791710E-001
 -8.435000181E-001 2.678459930E+001 2.477090073E+001 1.618749946E-001
 -8.429999948E-001 2.666550064E+001 2.482379913E+001 1.643750072E-001
 -8.424999714E-001 2.654689980E+001 2.487859917E+001 1.668750048E-001
 -8.420000076E-001 2.643079948E+001 2.492779922E+001 1.694791615E-001
 -8.414999843E-001 2.630809975E+001 2.498649979E+001 1.720833331E-001
 -8.410000205E-001 2.618889999E+001 2.503569984E+001 1.747916639E-001
 -8.404999971E-001 2.606809998E+001 2.508699989E+001 1.773958355E-001
 -8.399999738E-001 2.594210052E+001 2.514200020E+001 1.802083254E-001
 -8.396000266E-001 2.581870079E+001 2.519519997E+001 1.829166710E-001
 -8.391000032E-001 2.569409943E+001 2.524469948E+001 1.856250018E-001
 -8.385999799E-001 2.556800079E+001 2.529610062E+001 1.883333325E-001
 -8.381000161E-001 2.544529915E+001 2.533799934E+001 1.911458373E-001
 -8.375999928E-001 2.531450081E+001 2.539529991E+001 1.938541681E-001
 -8.371000290E-001 2.519020081E+001 2.543540001E+001 1.965624988E-001
 -8.366000056E-001 2.506189919E+001 2.548699951E+001 1.992708445E-001
 -8.360999823E-001 2.493659973E+001 2.553100014E+001 2.018750012E-001
 -8.356999755E-001 2.480680084E+001 2.558460045E+001 2.044791728E-001
 -8.352000117E-001 2.468409920E+001 2.562669945E+001 2.071875036E-001
 -8.346999884E-001 2.455170059E+001 2.568230057E+001 2.096875012E-001
 -8.342000246E-001 2.443040085E+001 2.571879959E+001 2.122916579E-001
 -8.337000012E-001 2.429990005E+001 2.576679993E+001 2.147916704E-001
 -8.331999779E-001 2.417709923E+001 2.580909920E+001 2.171874940E-001
 -8.327000141E-001 2.404920006E+001 2.585530090E+001 2.195833474E-001
 -8.321999907E-001 2.392379951E+001 2.589579964E+001 2.219791710E-001
 -8.317000270E-001 2.379689980E+001 2.594199944E+001 2.242708206E-001
 -8.313000202E-001 2.367350006E+001 2.598259926E+001 2.264583260E-001
 -8.307999969E-001 2.354509926E+001 2.603079987E+001 2.286458313E-001
 -8.302999735E-001 2.342219925E+001 2.606949997E+001 2.308333218E-001
 -8.298000097E-001 2.329689980E+001 2.611400032E+001 2.329166681E-001
 -8.292999864E-001 2.317000008E+001 2.616040039E+001 2.348958403E-001
 -8.288000226E-001 2.304100037E+001 2.621080017E+001 2.367708385E-001
 -8.282999992E-001 2.291559982E+001 2.625539970E+001 2.386458367E-001
 -8.277999759E-001 2.278770065E+001 2.630590057E+001 2.405208349E-001
 -8.274000287E-001 2.266329956E+001 2.634670067E+001 2.422916740E-001
 -8.269000053E-001 2.253689957E+001 2.639529991E+001 2.439583391E-001
